tissue,start,end,donor,age
Bladder,1,14499,TSP1,59.0
Bladder,14499,25985,TSP2,61.0
Bladder,25985,29671,TSP14,59.0
Bladder,29671,45431,TSP21,45.0
Bladder,45431,55731,TSP25,60.0
Bladder,55731,66386,TSP27,56.0
Blood,1,4449,TSP1,59.0
Blood,4449,17398,TSP2,61.0
Blood,17398,37781,TSP7,69.0
Blood,37781,42769,TSP8,56.0
Blood,42769,47129,TSP10,33.0
Blood,47129,67432,TSP14,59.0
Blood,67432,81535,TSP21,45.0
Blood,81535,84737,TSP25,60.0
Blood,84737,85234,TSP27,56.0
Bone_Marrow,1,4130,TSP2,61.0
Bone_Marrow,4130,6682,TSP11,42.0
Bone_Marrow,6682,7143,TSP13,22.0
Bone_Marrow,7143,19068,TSP14,59.0
Bone_Marrow,19068,22694,TSP21,45.0
Bone_Marrow,22694,26463,TSP25,60.0
Bone_Marrow,26463,27113,TSP27,56.0
Ear,1,380,TSP21,45.0
Ear,380,3056,TSP25,60.0
Eye,1,4229,TSP3,57.0
Eye,4229,7105,TSP5,40.0
Eye,7105,13153,TSP15,46.0
Eye,13153,34274,TSP21,45.0
Fat,1,312,TSP2,61.0
Fat,312,14750,TSP10,33.0
Fat,14750,23395,TSP14,59.0
Fat,23395,43532,TSP21,45.0
Fat,43532,93250,TSP25,60.0
Fat,93250,94416,TSP27,56.0
Heart,1,304,TSP2,61.0
Heart,304,12351,TSP12,74.0
Heart,12351,12489,TSP14,59.0
Heart,12489,17805,TSP21,45.0
Heart,17805,20400,TSP25,60.0
Heart,20400,25833,TSP27,56.0
Kidney,1,11377,TSP2,61.0
Large_Intestine,1,4923,TSP2,61.0
Large_Intestine,4923,14854,TSP14,59.0
Large_Intestine,14854,16348,TSP25,60.0
Large_Intestine,16348,20170,TSP26,37.0
Large_Intestine,20170,30085,TSP27,56.0
Liver,1,5188,TSP6,67.0
Liver,5188,12213,TSP14,59.0
Liver,12213,14327,TSP17,60.0
Liver,14327,22215,TSP19,36.0
Lung,1,16485,TSP1,59.0
Lung,16485,41133,TSP2,61.0
Lung,41133,54132,TSP14,59.0
Lung,54132,65848,TSP25,60.0
Lymph_Node,1,11009,TSP2,61.0
Lymph_Node,11009,25543,TSP7,69.0
Lymph_Node,25543,56773,TSP14,59.0
Lymph_Node,56773,84699,TSP21,45.0
Lymph_Node,84699,110065,TSP25,60.0
Lymph_Node,110065,129063,TSP27,56.0
Mammary,1,12398,TSP4,38.0
Mammary,12398,30937,TSP27,56.0
Muscle,1,4036,TSP1,59.0
Muscle,4036,23010,TSP2,61.0
Muscle,23010,25123,TSP4,38.0
Muscle,25123,33738,TSP14,59.0
Muscle,33738,36569,TSP25,60.0
Muscle,36569,46773,TSP27,56.0
Ovary,1,7095,TSP27,56.0
Ovary,7095,28886,TSP28,55.0
Ovary,28886,48952,TSP30,26.0
Pancreas,1,7043,TSP1,59.0
Pancreas,7043,14100,TSP9,37.0
Pancreas,14100,14141,TSP27,56.0
Prostate,1,14993,TSP8,56.0
Prostate,14993,18987,TSP14,59.0
Prostate,18987,21031,TSP25,60.0
Salivary_Gland,1,9328,TSP7,69.0
Salivary_Gland,9328,28261,TSP14,59.0
Salivary_Gland,28261,32115,TSP21,45.0
Salivary_Gland,32115,39822,TSP25,60.0
Skin,1,787,TSP2,61.0
Skin,787,7112,TSP10,33.0
Skin,7112,11301,TSP14,59.0
Skin,11301,17787,TSP21,45.0
Small_Intestine,1,5222,TSP2,61.0
Small_Intestine,5222,16203,TSP14,59.0
Small_Intestine,16203,22556,TSP25,60.0
Small_Intestine,22556,32271,TSP26,37.0
Small_Intestine,32271,42037,TSP27,56.0
Spleen,1,8949,TSP2,61.0
Spleen,8949,18296,TSP7,69.0
Spleen,18296,39759,TSP14,59.0
Spleen,39759,53238,TSP21,45.0
Spleen,53238,57343,TSP25,60.0
Spleen,57343,70449,TSP27,56.0
Stomach,1,9576,TSP20,56.0
Stomach,9576,18788,TSP25,60.0
Stomach,18788,33065,TSP27,56.0
Testis,1,7514,TSP25,60.0
Thymus,1,12908,TSP2,61.0
Thymus,12908,32797,TSP14,59.0
Thymus,32797,37344,TSP21,45.0
Thymus,37344,40317,TSP25,60.0
Thymus,40317,42730,TSP27,56.0
Tongue,1,164,TSP4,38.0
Tongue,164,7778,TSP7,69.0
Tongue,7778,17256,TSP14,59.0
Tongue,17256,24402,TSP25,60.0
Tongue,24402,38755,TSP27,56.0
Trachea,1,9578,TSP2,61.0
Trachea,9578,16997,TSP6,67.0
Trachea,16997,17326,TSP14,59.0
Trachea,17326,18277,TSP21,45.0
Trachea,18277,22426,TSP25,60.0
Trachea,22426,22672,TSP27,56.0
Uterus,1,11450,TSP4,38.0
Uterus,11450,22030,TSP21,45.0
Vasculature,1,9305,TSP2,61.0
Vasculature,9305,19082,TSP14,59.0
Vasculature,19082,28841,TSP21,45.0
Vasculature,28841,42582,TSP25,60.0
Vasculature,42582,42651,TSP27,56.0
